Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/7/2024 10:32:13 AM,,,,
,,,,
,,,,
Alignment Name: en-d19,,,,
Description:,,,,
"Station Range: Start: 17+125.67, End: 23+797.40",,,,
,,,,
Point,Station,Offset,Elevation,Description
461,19+599.94,13.506m,"1,104.123m",
462,19+599.86,18.390m,"1,103.943m",
463,19+599.59,24.812m,"1,103.693m",
464,19+599.67,32.902m,"1,103.336m",
465,19+620.03,-16.174m,"1,107.132m",
466,19+620.10,-12.707m,"1,107.145m",
467,19+619.96,-9.256m,"1,107.090m",
468,19+619.94,-7.311m,"1,106.930m",
469,19+620.04,-3.870m,"1,105.778m",
470,19+620.00,0.031m,"1,104.737m",
471,19+620.01,5.361m,"1,104.186m",
472,19+620.03,7.310m,"1,104.231m",
473,18+980.11,0.007m,"1,107.207m",
474,18+980.00,5.320m,"1,107.003m",
475,18+979.97,12.325m,"1,106.628m",
476,18+979.92,15.177m,"1,106.828m",
477,18+980.00,16.957m,"1,106.567m",
478,18+980.08,22.195m,"1,106.338m",
479,18+979.92,27.737m,"1,106.066m",
480,18+980.15,34.463m,"1,105.875m",
481,19+000.05,-16.055m,"1,109.588m",
482,19+000.02,-13.028m,"1,109.602m",
483,19+000.01,-9.487m,"1,109.614m",
484,19+000.02,-7.359m,"1,109.326m",
485,19+000.06,-4.437m,"1,108.003m",
486,19+000.01,-2.163m,"1,107.453m",
487,18+999.99,0.014m,"1,107.294m",
488,19+000.03,4.138m,"1,107.033m",
489,19+000.01,6.265m,"1,106.819m",
490,19+000.03,12.194m,"1,106.652m",
491,19+000.02,15.033m,"1,106.759m",
492,19+000.03,16.962m,"1,106.509m",
493,19+000.04,21.282m,"1,106.121m",
494,19+000.18,24.169m,"1,105.993m",
495,19+000.15,27.649m,"1,105.932m",
496,19+000.27,34.405m,"1,105.863m",
497,19+000.12,40.192m,"1,105.586m",
498,19+020.00,-16.063m,"1,109.522m",
499,19+020.00,-12.692m,"1,109.549m",
500,19+020.02,-9.457m,"1,109.512m",
501,19+020.02,-3.839m,"1,107.676m",
502,19+020.15,-1.514m,"1,107.495m",
503,19+019.99,0.040m,"1,107.332m",
504,19+020.09,4.979m,"1,107.266m",
505,19+019.94,12.559m,"1,106.742m",
506,19+019.95,16.560m,"1,106.788m",
507,19+019.69,21.165m,"1,106.476m",
